,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
143,Inworld AI,Strategic Round,"$10,000,000 ","BITKRAFT Ventures, KevinLin, NateMitchell, YatSiu, MarcMerrill, KleinerPerkins, Sebastien Borget, CRV","Mar 05, 2022",2022/11/12
144,Derby Stars,Seed Round,"$6,000,000 ","Patron, Galaxy Interactive, Hashed, Arrington XRP Capital, JumpCrypto, Alan Howard, Mechanism Capital, Sky Vision Capital, TaureonCapital, Lunatic Capital, a41 Ventures, Coin98 Ventures, GuildFi, Avocado DAO, Ready Player DAO, Everyrealm, AcadArena, TerraBites, RyanWyatt, Sebastien Borget, DanielKim, ChaunceySt.John, SJPark, KevinChiao","Mar 05, 2022",2022/11/12
145,Nifty League,Seed Round,"$5,000,000 ","RSE Ventures, Lerer Hippeau, Spartan Group, VaynerFund, Avocado Guild, EvosGaming, PrivateVenturesGroup, AdvancitCapital, TEOHCapital, 3SEHoldings, y2zVentures, NyanHeroes, MatthewKalish, RyanHarwood","Mar 03, 2022",2022/11/12
146,AQUANEE,Seed Round,"$2,000,000 ","Momentum 6, Polygon, Mindfulness Capital, IsraelMysteriousFamilyFund, Cipholio Ventures, BitMart, WorshipperCapital","Mar 03, 2022",2022/11/12
147,Web3Games,Seed Round,"$4,000,000 ","DAO Maker Investor, LD Capital, MindWorks, NEAR Foundation, CoinUnited Capital, SnapFingers, 3Commas, Assembly Capital Partners, Blockspaper, MetaX Ventures, Metaverse Alliance, MEXCExchange, ARIA, BitcoinAddictThailand, Zipmex, TiCapital, Lancer Capital, Crasolum, TK Ventures, Kernel Ventures, Spark Digital Capital, Maven Capital, InfinityLabs, BTSLabs, UG Ventures","Mar 03, 2022",2022/11/12
148,Karmaverse,Seed Round,"$6,000,000 ","A&amp;T Capital, Foresight Ventures, Polygon Studios, NFX, GSR, HashKey Capital, Fundamental Labs, Altonomy","Feb 28, 2022",2022/11/12
149,Matrix World,Seed Round,"$5,500,000 ","Tess Ventures, Everest Ventures Group, Sky9Capital, Dapper Labs, Animoca Brands, SevenX Ventures, Bonfire Ventures, Fenbushi Capital, PANONY, y2zVentures, Com2uS, Hash Global, ArkStream Capital, SecondLive, MoonCapital, Matcha","Feb 27, 2022",2022/11/12
150,Worldspark Studios,Seed Round,"$3,000,000 ","Animoca Brands, Shima Capital, Alameda Research, Jump Capital, AAGVentures, Sfermion","Feb 25, 2022",2022/11/12
151,Fast Break Labs,Seed Round,"$6,000,000 ","Patron, Pantera Capital, Collab+Currency, Solana Ventures, SouthParkCommons, Blue Pool Capital, AneelRanadive, MarcMerrill, RyanSpoon, JohnRobinson, ThomasVu, JasonChoi, WengieHuang","Feb 24, 2022",2022/11/12
152,Heroes Of Mavia,Strategic Round,"$2,500,000 ","Crypto.com Capital, HashKey Capital, Merit Circle Investor, GuildFi, YGG SEA, Avocado Guild, Perion, Avocado DAO","Feb 21, 2022",2022/11/12
153,Summoners Arena,Private Round,"$3,000,000 ","Kyros Ventures, Spartan Group, Coin98 Ventures, Pantera Capital, Coinbase Ventures, Kyber Network, Impossible Finance Investor, Merit Circle Investor","Feb 18, 2022",2022/11/12
154,Gemie,Seed Round,"$3,800,000 ","Shima Capital, Infinity Ventures Crypto, Kenetic Capital, NGC Ventures, NewmanCapital, SoulCapital, Spark Digital Capital, ICOPantera, SL2 Capital, Oddiyana Ventures, BeyondNext, QUDAX, Avstar Capital","Feb 18, 2022",2022/11/12
155,Fanfury,Seed Round,-,"Lunatic Capital, GTCapital, MEXCExchange, Sky Vision Capital, Maven Capital, OIG Investment Group, Black Dragon, ExNetwork Capital","Feb 18, 2022",2022/11/12
156,Banger Games,Seed Round,"$11,315,000 ","Avalanche, Shima Capital, GSR, Flori Ventures, Poolz, LucidBlue Ventures, Belobaba, CSP DAO, Halvings Capital, OIG Investment Group, Bigcoin Capital, JayntiKanani, G-20AdvisorsAG, DavidWachsman","Feb 17, 2022",2022/11/12
157,Playible,Pre-Seed Round,"$10,000,000 ","HartmannCapital, Grizzly Capital, Big Brain Holdings","Feb 16, 2022",2022/11/12
158,G4AL,Pre-Seed Round,"$1,360,000 ","Inveready, BonsaiPartners","Feb 16, 2022",2022/11/12
159,Ethlas,Seed Round,"$2,700,000 ","Sequoia Capital, Yield Guild Games, VenturraCapital, Play It Forward DAO, BlockchainSpace, DeusExDAO, HustleFund, Genesis","Feb 16, 2022",2022/11/12
160,Candy Cash!,Private Round,"$1,855,000 ","Legion Ventures, Dutch Crypto Investors, ZBS Capital, Halvings Capital, Kommunitas, MM Ventures, MH Ventures","Feb 15, 2022",2022/11/12
161,NextVerse,Private Round,"$2,760,000 ","Icetea Labs, Maven Capital, Red Kite, GameFi Investor","Feb 15, 2022",2022/11/12
162,Your Open Metaverse,Private Round,-,"ExNetwork Capital, Alphabit Fund, Launchpool, Solar Eco Fund, BrotherHood Ventures, Andromeda Capital, Stakez Capital, LucidBlue Ventures","Feb 15, 2022",2022/11/12
163,MixMob,Seed Round,"$7,000,000 ","DeFiance Capital, Ascensive Assets, Merit Circle Investor, Genblock Capital, Shima Capital, Avocado Guild, Maven Capital, Morningstar Ventures, Avocado DAO, YGG SEA","Feb 15, 2022",2022/11/12
